Transaction_ID,Customer_ID,Transaction_Date,Product_Clean,Sum of Quantity,Sum of Price,Transaction_Type,Transaction_Status,Record_Status
T99999,C4059,2020-07-12,Headphones,10,,Unknown,Completed,Valid
T99998,C280,2023-13-01,Laptop,-10,,Unknown,Completed,Valid
T99997,C4830,2024-08-25,Smartphone,,503.8295,Unknown,Completed,Missing Quantity
T99995,C2153,2025-02-30,Smartphone,741,,Unknown,Complete,Valid
T99994,C3391,2024-11-24,Tablet,911,-627.09,Negative Transaction,Pending,Valid
T99993,C1285,2025-02-30,Laptop,9,-765.1748,Negative Transaction,Completed,Valid
T99992,C836,2022-11-25,Coffee Machine,3,312.0263,Normal Transaction,Completed,Valid
T99991,C4555,2023-13-01,Tablet,2,131.0369,Normal Transaction,Failed,Valid
T99990,C4671,2022-05-07,Headphones,6,-733.64,Negative Transaction,Completed,Valid
T9999,C2583,2025-02-30,Laptop,577,79.3916,Normal Transaction,Completed,Valid
T99989,C011,2025-02-30,Smartphone,542,460.252,Normal Transaction,Failed,Valid
T99988,C3220,2025-02-30,Coffee Machine,-6,871.22,Negative Transaction,Pending,Valid
T99987,C173,2024-07-11,Coffee Machine,7,826.0408,Normal Transaction,"",Valid
T99986,C227,2025-02-30,Smartphone,-1,860.3611,Negative Transaction,Pending,Valid
T99984,C1089,2025-02-30,Smartphone,-1,,Unknown,Failed,Valid
T99983,C3891,2025-02-30,Headphones,-10,,Unknown,Completed,Valid
T99982,C4049,2023-13-01,Laptop,2,-204.933,Negative Transaction,Failed,Valid
T99981,C3336,2025-02-30,Tablet,4,-952.6224,Negative Transaction,Completed,Valid
T99980,C524,2025-02-30,Tablet,5,,Unknown,Complete,Valid
T9998,C2499,2025-02-30,Tablet,470,-477.5966,Negative Transaction,Complete,Valid
T99979,C4733,2025-02-30,Smartphone,3,588.0079,Normal Transaction,Pending,Valid
T99978,C2582,2025-02-30,Coffee Machine,2,428.0276,Normal Transaction,"",Valid
T99977,C4803,2025-02-30,Coffee Machine,-2,,Unknown,Failed,Valid
